CustomerId,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Bank DOJ
15625047,1,2,38,5,? 0.00,1,1,1,"? 1,87,616.00",0,08-11-2017
15738191,1,1,25,6,? 0.00,2,0,1,"? 1,24,508.00",0,23-11-2016
15736816,3,1,36,4,"? 1,36,816.00",1,1,1,"? 1,70,042.00",0,26-10-2018
15700772,1,1,44,4,? 0.00,2,0,0,"? 38,433.00",0,02-12-2018
15728693,3,2,43,5,"? 1,41,349.00",1,1,1,"? 1,00,187.00",0,26-06-2018
15656300,1,1,29,4,"? 59,697.00",2,1,1,"? 53,483.00",0,22-08-2019
15589475,2,2,39,5,? 0.00,3,1,0,"? 1,40,469.00",1,12-11-2017
15706552,1,1,36,4,"? 85,312.00",1,0,1,"? 1,56,732.00",0,26-08-2019
15750181,3,1,41,5,"? 1,10,113.00",2,0,0,"? 81,899.00",0,03-09-2018
15659428,2,2,42,4,? 0.00,2,1,1,"? 34,411.00",0,28-08-2019
15732963,2,2,29,6,? 0.00,2,1,1,"? 1,42,033.00",0,31-01-2017
15794171,1,2,45,5,"? 1,34,264.00",1,1,0,"? 27,823.00",1,23-09-2017
15788448,2,1,31,7,"? 1,45,260.00",1,0,1,"? 1,14,067.00",0,09-04-2016
15729599,2,1,33,4,"? 76,549.00",1,0,1,"? 98,453.00",0,18-01-2019
15717426,1,1,36,5,? 0.00,1,1,1,"? 40,813.00",0,11-03-2018
15585768,3,1,41,6,"? 70,349.00",2,0,1,"? 1,78,074.00",0,22-11-2016
15619360,2,1,40,5,? 0.00,1,1,0,"? 70,154.00",0,11-05-2018
15738148,1,2,51,6,"? 1,22,522.00",1,0,0,"? 1,81,298.00",1,09-11-2016
15687946,1,2,61,5,"? 1,17,419.00",1,1,1,"? 94,154.00",0,08-03-2018
15755196,1,2,49,6,"? 1,31,395.00",1,0,0,"? 1,94,366.00",1,01-05-2017
15684171,2,2,61,7,"? 1,55,931.00",1,1,1,"? 1,58,338.00",0,17-09-2016
15754849,3,2,32,6,"? 1,09,421.00",2,1,1,"? 1,26,517.00",0,14-12-2016
15602280,3,2,27,5,"? 1,12,046.00",1,1,1,"? 1,19,708.00",1,29-05-2018
15771573,3,2,39,7,"? 1,37,844.00",1,1,1,"? 1,17,623.00",1,25-03-2016
15766205,3,1,38,4,"? 1,03,391.00",1,0,1,"? 90,878.00",0,30-11-2018
15771873,3,2,37,4,"? 1,03,769.00",2,1,0,"? 1,94,099.00",0,21-06-2019
15616550,3,1,44,6,"? 1,16,363.00",2,1,0,"? 1,98,059.00",0,30-03-2017
15768193,3,1,36,4,"? 1,46,051.00",2,0,0,"? 86,425.00",0,12-05-2019
15683553,1,2,33,5,? 0.00,2,0,0,"? 1,16,978.00",0,13-03-2018
15702298,3,1,41,5,"? 1,25,562.00",1,0,0,"? 1,64,041.00",1,17-09-2018
15569590,3,1,42,7,"? 98,496.00",1,1,0,"? 40,015.00",1,21-06-2016
15760861,1,1,43,6,"? 1,25,212.00",1,1,1,"? 1,13,410.00",0,20-03-2017
15630053,1,1,45,6,"? 1,27,864.00",1,1,0,"? 87,108.00",0,21-09-2017
15647091,3,1,19,6,"? 75,888.00",1,0,0,"? 45,614.00",0,28-08-2017
15623944,2,2,66,7,? 0.00,1,1,0,"? 1,643.00",1,21-09-2016
15804771,1,1,51,4,"? 40,686.00",1,1,1,"? 46,775.00",0,10-01-2019
15651280,3,1,35,6,"? 1,36,857.00",1,0,0,"? 84,510.00",0,19-06-2017
15773469,3,2,27,4,"? 1,52,329.00",2,0,0,"? 1,26,495.00",0,29-11-2018
15702014,2,1,33,5,"? 56,085.00",2,0,0,"? 1,78,798.00",0,11-06-2018
15751208,2,1,56,4,"? 78,707.00",1,1,1,"? 99,398.00",0,27-01-2019
15592461,3,1,26,4,"? 1,09,166.00",1,1,1,"? 92,841.00",0,02-04-2019
15789484,3,2,36,6,"? 1,69,831.00",2,1,1,"? 27,758.00",0,26-05-2017
15696061,3,2,34,4,"? 1,01,633.00",1,1,0,"? 1,10,432.00",0,31-01-2019
15641582,3,1,43,6,"? 1,23,180.00",2,1,1,"? 1,96,673.00",0,22-11-2016
15638424,3,2,35,3,"? 1,50,726.00",2,0,1,"? 1,13,657.00",0,26-09-2019
15755648,1,2,21,5,"? 98,373.00",1,1,0,"? 18,203.00",0,28-08-2018
15703793,3,1,58,3,"? 1,33,745.00",4,1,0,"? 28,374.00",1,25-12-2019
15620344,1,1,29,6,? 0.00,1,1,0,"? 33,954.00",0,03-12-2016
15812518,2,2,37,6,"? 1,63,607.00",1,0,1,"? 44,204.00",0,29-01-2017
15779052,3,2,25,4,"? 1,57,781.00",2,1,1,"? 58,427.00",0,06-05-2019
15770811,1,1,36,6,? 0.00,2,0,1,"? 1,45,562.00",0,01-09-2017
15780961,1,2,21,5,"? 1,78,718.00",2,1,0,"? 22,388.00",0,09-07-2018
15614049,1,1,55,5,? 0.00,2,1,1,"? 1,39,162.00",0,04-09-2018
15662085,1,2,32,7,? 0.00,1,1,1,"? 1,48,211.00",0,14-09-2016
15575185,2,1,33,6,"? 77,253.00",1,0,1,"? 1,94,240.00",0,15-05-2017
15803136,3,2,41,4,"? 1,22,190.00",2,1,0,"? 98,302.00",0,25-08-2019
15706021,1,2,34,6,"? 96,646.00",2,0,0,"? 1,71,414.00",0,31-10-2016
15663706,1,2,32,7,? 0.00,1,1,0,"? 1,36,458.00",1,25-05-2016
15641732,1,2,36,4,? 0.00,2,0,0,"? 26,020.00",0,15-04-2019
15701164,1,2,34,4,"? 90,308.00",1,1,1,"? 1,59,235.00",0,17-11-2018
15738751,1,2,46,5,? 0.00,2,1,0,"? 1,908.00",0,06-12-2017
15805254,2,2,75,3,? 0.00,2,1,1,"? 1,14,676.00",0,03-11-2019
15762418,2,1,22,5,"? 1,21,682.00",1,1,0,"? 1,28,643.00",1,27-11-2017
15625759,1,1,30,6,? 0.00,2,1,0,"? 1,51,869.00",0,24-09-2016
15622897,1,2,46,5,? 0.00,3,1,0,"? 93,251.00",1,04-11-2017
15767954,3,2,28,4,"? 81,624.00",2,1,1,"? 1,56,791.00",0,14-04-2019
15757535,2,2,44,4,? 0.00,3,1,1,"? 1,74,205.00",1,28-12-2018
15731511,1,1,45,7,"? 1,18,627.00",2,1,0,"? 1,47,132.00",0,10-01-2016
15809248,1,2,36,6,? 0.00,2,1,0,"? 1,09,615.00",0,04-06-2017
15640635,1,1,29,4,? 0.00,2,1,1,"? 1,72,291.00",0,31-12-2018
15676966,2,1,42,4,? 0.00,2,0,1,"? 85,982.00",0,23-04-2019
15699461,2,1,35,5,"? 1,76,274.00",1,0,1,"? 1,21,278.00",0,03-01-2018
15738721,2,1,41,6,"? 1,02,827.00",1,0,1,"? 64,595.00",0,27-02-2017
15693683,3,1,29,7,"? 97,086.00",2,1,1,"? 1,97,276.00",0,21-09-2016
15604348,2,1,22,4,? 0.00,2,0,0,"? 99,645.00",0,24-08-2019
15633059,1,1,34,3,? 0.00,2,0,0,"? 6,534.00",0,23-11-2019
15808582,1,2,40,3,? 0.00,1,1,1,"? 1,61,848.00",0,06-12-2019
15743192,1,2,44,5,? 0.00,2,0,0,"? 1,67,162.00",0,15-10-2017
15580146,1,1,31,5,"? 82,674.00",1,1,0,"? 41,971.00",0,29-07-2018
15776605,2,1,36,4,? 0.00,2,1,0,"? 60,537.00",0,03-06-2019
15804919,2,2,65,3,? 0.00,1,1,1,"? 1,77,656.00",1,18-11-2019
15613854,2,2,46,4,"? 1,07,073.00",2,1,1,"? 30,985.00",1,30-03-2019
15599195,3,1,32,4,"? 88,939.00",1,1,1,"? 10,055.00",0,24-07-2019
15812878,3,2,36,3,"? 99,807.00",1,0,1,"? 36,977.00",0,24-10-2019
15602312,2,1,33,5,"? 1,50,093.00",1,0,0,"? 71,863.00",0,28-05-2018
15744689,3,1,35,5,"? 92,834.00",1,1,0,"? 99,450.00",1,10-09-2018
15803526,3,1,30,4,"? 90,537.00",1,0,1,"? 63,083.00",0,03-07-2019
15665790,3,1,39,4,"? 1,08,055.00",2,1,0,"? 27,231.00",0,21-09-2019
15715951,1,1,42,6,"? 1,00,238.00",1,0,0,"? 86,797.00",0,01-10-2016
15591100,2,1,36,5,"? 1,06,191.00",1,0,1,"? 22,994.00",0,14-11-2017
15609618,3,1,28,3,"? 1,54,476.00",2,0,1,"? 1,01,301.00",1,05-10-2019
15675522,3,2,30,6,"? 1,32,351.00",2,1,1,"? 74,169.00",0,31-07-2017
15705512,3,2,37,4,"? 1,67,864.00",1,1,0,"? 1,15,638.00",0,19-11-2018
15698028,1,2,41,5,? 0.00,2,1,0,"? 31,766.00",0,03-06-2018
15661670,3,2,31,3,"? 1,07,819.00",1,1,0,"? 1,99,725.00",1,26-09-2019
15600781,3,1,34,5,"? 1,85,174.00",2,1,0,"? 1,20,834.00",0,24-12-2017
15682472,1,1,34,3,"? 1,29,433.00",2,0,0,"? 38,132.00",0,05-11-2019
15580203,2,1,39,6,"? 1,20,193.00",1,0,0,"? 1,00,131.00",0,21-12-2016
15690673,1,2,39,4,? 0.00,2,1,0,"? 1,41,070.00",0,20-06-2019
15760085,3,2,48,7,"? 1,26,384.00",1,1,1,"? 1,98,129.00",0,30-07-2016
15779659,1,2,28,3,? 0.00,1,0,0,"? 1,83,646.00",0,16-10-2019
15627360,1,1,42,6,"? 1,52,603.00",1,1,0,"? 1,10,265.00",1,22-11-2016
15671137,1,2,52,4,? 0.00,1,0,1,"? 8,636.00",1,03-12-2018
15782688,3,1,56,4,"? 1,48,507.00",1,1,0,"? 46,824.00",1,08-12-2018
15575492,1,2,41,3,? 0.00,2,1,0,"? 1,71,379.00",0,02-12-2019
15591607,1,1,24,7,"? 1,01,827.00",1,1,0,"? 1,67,256.00",0,13-08-2016
15740404,1,2,34,4,? 0.00,2,1,1,"? 1,24,226.00",0,12-09-2019
15718369,3,2,33,3,"? 1,30,862.00",1,1,1,"? 1,14,935.00",0,13-11-2019
15677871,1,1,38,6,"? 1,22,571.00",1,1,1,"? 35,609.00",0,13-11-2016
15642004,1,1,25,5,? 0.00,2,0,1,"? 16,459.00",0,18-12-2017
15712543,3,1,39,4,"? 1,24,828.00",2,1,1,"? 1,24,411.00",0,07-01-2019
15584518,3,2,50,5,"? 1,44,895.00",2,1,1,"? 34,941.00",0,23-09-2017
15802381,3,2,34,5,"? 63,664.00",1,0,1,"? 1,67,784.00",0,05-12-2017
15610156,1,1,40,4,"? 1,33,463.00",1,0,1,"? 93,165.00",0,21-12-2018
15594408,2,2,48,4,"? 2,13,146.00",1,1,0,"? 75,161.00",1,06-02-2019
15640905,2,2,35,7,"? 1,29,490.00",2,0,1,"? 8,591.00",1,06-06-2016
15698932,3,1,44,6,"? 1,37,452.00",1,1,0,"? 1,89,544.00",0,18-10-2016
15724944,1,1,34,4,? 0.00,2,1,1,"? 1,80,427.00",0,28-12-2018
15628145,1,2,43,6,"? 1,25,852.00",1,1,1,"? 1,93,318.00",0,07-11-2016
15713483,2,1,52,5,? 0.00,1,1,0,"? 1,59,124.00",1,28-05-2018
15612350,1,2,31,3,"? 40,916.00",1,1,0,"? 1,26,214.00",1,02-12-2019
15800703,2,2,21,5,"? 1,13,157.00",1,1,1,"? 54,142.00",0,03-06-2018
15705707,2,2,29,4,"? 1,38,297.00",2,1,0,"? 1,41,076.00",0,09-12-2018
15754105,1,1,37,4,"? 1,06,967.00",1,0,0,"? 24,495.00",0,13-09-2019
15703264,1,1,44,6,"? 1,20,682.00",1,1,0,"? 74,836.00",0,15-07-2017
15794413,1,1,32,4,? 0.00,2,0,1,? 879.00,0,07-09-2019
15650237,2,2,32,4,? 0.00,2,1,0,"? 89,521.00",0,21-10-2018
15759618,1,2,48,4,? 0.00,1,1,0,"? 1,49,893.00",1,03-06-2019
15811589,2,1,42,4,? 0.00,2,1,0,"? 1,80,800.00",0,18-01-2019
15689044,1,1,37,6,"? 1,27,610.00",1,1,0,"? 98,646.00",0,06-02-2017
15709368,1,2,43,3,? 0.00,2,1,1,"? 1,09,042.00",0,16-11-2019
15679145,2,1,57,5,? 0.00,1,1,0,"? 17,941.00",1,05-12-2017
15655007,1,2,33,3,? 0.00,2,0,0,"? 82,996.00",0,13-12-2019
15623595,2,2,28,4,? 0.00,2,1,1,"? 92,067.00",0,18-07-2019
15589975,1,2,73,6,"? 97,259.00",1,0,1,"? 1,04,720.00",0,22-08-2017
15804017,3,2,33,3,"? 1,23,247.00",1,0,0,"? 1,12,688.00",0,01-12-2019
15692132,2,2,22,3,"? 1,01,060.00",1,0,1,"? 84,700.00",0,21-10-2019
15641122,1,1,30,5,? 0.00,2,1,0,"? 83,474.00",0,02-10-2017
15630910,1,2,49,7,"? 1,08,007.00",1,0,0,"? 47,125.00",0,24-03-2016
15680772,2,2,36,6,? 0.00,2,1,1,"? 1,06,978.00",0,21-12-2016
15658929,2,1,29,4,"? 1,33,703.00",1,1,0,"? 55,583.00",1,27-03-2019
15585388,3,1,31,6,"? 1,25,190.00",2,1,1,"? 1,39,874.00",0,03-10-2016
15724623,3,2,24,5,"? 1,13,034.00",1,1,0,"? 1,62,503.00",1,15-10-2017
15588537,2,2,41,4,"? 1,09,013.00",1,1,0,"? 1,96,500.00",0,18-08-2019
15574692,2,2,39,5,? 0.00,2,1,0,"? 40,721.00",1,18-12-2017
15611325,3,1,24,6,"? 57,930.00",2,0,0,"? 53,134.00",0,23-09-2016
15587562,1,2,29,7,"? 1,30,114.00",1,1,0,"? 1,64,018.00",0,10-05-2016
15613172,3,1,27,5,"? 95,826.00",2,1,0,"? 1,55,997.00",0,09-12-2017
15651022,3,1,44,7,"? 1,29,609.00",1,1,0,"? 5,473.00",1,07-09-2016
15586310,1,1,30,4,"? 1,69,462.00",1,1,0,"? 1,12,187.00",0,24-12-2018
15625524,1,1,40,3,? 0.00,2,1,1,"? 1,46,458.00",0,06-10-2019
15755209,2,2,35,3,"? 1,33,868.00",1,1,1,"? 27,286.00",0,07-12-2019
15645248,1,2,30,4,? 0.00,2,1,1,"? 1,30,553.00",0,12-08-2019
15790355,3,1,36,4,"? 1,90,479.00",2,0,0,"? 1,79,352.00",0,30-12-2018
15762615,2,2,40,7,"? 1,01,993.00",1,0,1,"? 94,774.00",0,12-09-2016
15625426,3,2,55,6,"? 1,61,609.00",1,1,0,"? 8,081.00",1,01-01-2017
15716334,2,2,45,5,"? 1,22,311.00",1,1,1,"? 19,483.00",0,11-12-2017
15789669,1,1,65,7,? 0.00,2,1,1,"? 48,072.00",0,14-06-2016
15621075,3,2,45,3,"? 1,62,150.00",2,1,0,"? 1,74,531.00",0,03-10-2019
15810845,1,1,42,3,? 0.00,2,1,1,"? 55,471.00",0,24-12-2019
15719377,1,2,50,3,? 0.00,1,1,1,"? 8,547.00",1,05-11-2019
15654506,1,1,32,5,? 0.00,2,1,0,"? 95,857.00",0,26-09-2017
15771977,1,2,39,6,"? 99,011.00",1,1,0,"? 1,94,946.00",0,07-01-2017
15708710,2,2,37,4,? 0.00,1,0,1,"? 1,31,522.00",0,03-07-2019
15726676,2,1,30,5,? 0.00,2,0,1,"? 1,96,109.00",0,06-05-2018
15587421,3,2,34,4,"? 1,11,388.00",2,1,0,"? 1,48,565.00",0,30-11-2018
15726931,1,2,41,7,"? 56,215.00",2,0,0,"? 92,983.00",1,30-04-2016
15771086,1,2,36,7,"? 84,328.00",2,1,0,"? 17,675.00",0,13-06-2016
15756850,1,1,40,3,? 0.00,2,0,0,"? 1,14,996.00",0,05-11-2019
15702741,1,1,32,3,"? 93,013.00",1,1,0,"? 86,957.00",0,14-12-2019
15679200,2,1,29,3,"? 61,710.00",2,1,0,"? 1,28,078.00",0,21-12-2019
15594815,1,1,35,5,"? 1,74,790.00",1,1,1,? 600.00,0,10-09-2018
15635905,2,2,32,4,? 0.00,2,1,1,"? 43,001.00",0,19-12-2018
15777892,3,1,37,4,"? 1,07,721.00",1,1,1,"? 1,58,591.00",0,06-12-2018
15656176,1,1,57,4,? 0.00,2,1,1,"? 47,847.00",0,01-08-2019
15811127,1,1,35,4,"? 96,424.00",1,1,0,"? 10,488.00",0,19-10-2018
15604482,2,1,30,5,"? 1,41,040.00",1,1,1,"? 5,978.00",0,24-10-2017
15622911,1,1,42,4,"? 1,05,420.00",1,0,1,"? 1,21,409.00",0,09-02-2019
15600974,2,1,50,3,? 0.00,1,0,1,"? 1,46,146.00",1,26-10-2019
15727868,1,2,38,3,"? 1,29,022.00",2,1,1,"? 14,375.00",1,12-11-2019
15627801,2,1,33,6,"? 1,76,667.00",1,1,0,"? 94,671.00",0,17-10-2016
15773039,1,1,37,4,? 0.00,1,1,1,"? 1,79,670.00",0,23-05-2019
15755262,2,2,41,4,"? 89,764.00",1,0,0,"? 1,99,305.00",1,25-07-2019
15679531,1,1,34,5,"? 1,34,955.00",1,1,1,"? 1,51,954.00",0,10-12-2017
15684181,1,1,45,5,? 0.00,1,1,0,"? 1,42,514.00",1,24-12-2017
15612087,1,1,45,4,"? 1,06,377.00",1,0,1,"? 1,58,265.00",0,18-08-2019
15752047,3,1,33,5,"? 1,61,815.00",2,1,0,"? 1,69,382.00",0,21-09-2018
15624592,1,1,31,6,? 0.00,2,1,1,"? 1,69,915.00",0,02-11-2016
15573152,1,2,41,5,? 0.00,2,0,0,"? 88,852.00",0,29-08-2018
15594917,1,2,34,4,"? 63,095.00",1,1,1,"? 40,646.00",0,12-11-2018
15785542,3,1,26,5,"? 1,18,287.00",2,0,0,"? 60,427.00",0,16-09-2018
15723488,3,1,47,5,"? 1,06,854.00",1,0,1,"? 1,57,959.00",1,07-12-2017
15680920,1,1,46,5,"? 49,513.00",1,1,0,"? 1,33,007.00",0,08-01-2018
15786308,2,2,33,5,? 0.00,2,0,0,"? 1,76,577.00",0,17-08-2018
15659366,1,1,43,3,"? 1,05,799.00",2,1,0,"? 34,888.00",1,25-12-2019
15774854,1,1,54,7,? 0.00,1,1,1,"? 28,738.00",1,21-03-2016
15725311,1,2,31,4,"? 1,14,722.00",2,1,1,"? 98,179.00",0,06-09-2019
15787155,2,1,30,4,? 0.00,1,0,1,"? 1,25,010.00",0,14-09-2019
15727829,1,1,42,3,? 0.00,2,1,1,"? 1,67,985.00",0,08-10-2019
15733247,1,1,33,6,? 0.00,1,1,0,"? 4,862.00",1,04-01-2017
15568748,3,1,45,4,"? 99,564.00",1,1,1,"? 1,08,872.00",1,29-11-2018
15699029,1,1,37,5,"? 1,70,558.00",2,1,0,"? 1,98,253.00",0,12-01-2018
15774393,1,2,30,5,? 0.00,2,1,1,"? 26,960.00",0,27-01-2018
15676895,3,2,39,5,"? 74,596.00",3,1,1,"? 85,747.00",1,23-04-2018
15637753,3,1,50,6,"? 96,888.00",1,1,0,"? 77,206.00",1,02-09-2017
15605461,3,2,29,5,"? 1,30,830.00",1,1,0,"? 61,049.00",0,31-12-2017
15808473,1,1,72,4,? 0.00,2,0,1,"? 1,11,981.00",0,16-11-2018
15627000,1,1,40,4,? 0.00,2,1,0,"? 62,233.00",0,31-03-2019
15787174,1,2,37,3,? 0.00,2,0,1,"? 1,56,105.00",0,21-11-2019
15723886,3,1,20,6,"? 1,19,714.00",2,0,1,"? 1,50,135.00",0,10-06-2017
15704769,1,2,67,6,"? 1,13,979.00",2,0,1,"? 93,146.00",0,18-09-2017
15772896,3,1,42,3,"? 1,00,161.00",1,1,0,"? 33,463.00",1,14-10-2019
15711540,1,2,29,7,? 0.00,1,1,1,"? 1,44,375.00",0,06-06-2016
15764866,3,2,43,6,"? 1,16,221.00",3,1,0,"? 55,804.00",1,29-11-2016
15794056,1,2,46,4,? 0.00,3,1,0,"? 89,048.00",1,28-12-2018
15795149,1,1,28,5,"? 81,174.00",2,0,1,"? 1,62,812.00",0,03-07-2018
15812009,2,1,38,4,? 0.00,2,1,0,"? 1,36,260.00",0,10-06-2019
15651001,3,2,39,4,"? 1,16,804.00",1,1,0,"? 1,24,053.00",0,22-08-2019
15813844,1,1,37,4,"? 1,05,962.00",2,0,1,"? 74,159.00",0,01-09-2019
15596175,3,1,67,6,"? 1,17,412.00",1,1,1,"? 45,071.00",1,26-03-2017
15576269,2,1,34,7,? 0.00,2,1,0,"? 62,030.00",0,30-04-2016
15797219,1,2,40,7,"? 1,23,498.00",1,1,0,"? 1,31,953.00",1,16-09-2016
15685500,3,1,26,4,"? 1,52,401.00",2,1,0,"? 79,414.00",0,06-09-2019
15599792,1,2,26,4,? 0.00,2,1,1,"? 1,99,639.00",0,16-11-2018
15657566,3,1,24,4,"? 1,03,098.00",1,1,1,"? 1,57,577.00",0,11-08-2019
15772423,3,1,54,4,"? 1,26,418.00",1,1,0,"? 1,34,421.00",1,11-09-2019
15628112,3,2,36,4,"? 77,847.00",1,0,0,"? 99,806.00",0,11-05-2019
15753754,2,2,34,5,? 0.00,2,1,1,"? 97,933.00",0,06-04-2018
15793726,1,2,79,4,? 0.00,2,0,1,"? 1,70,969.00",0,15-08-2019
15694717,3,1,37,5,"? 79,732.00",1,1,1,"? 57,559.00",0,05-11-2017
15665834,2,1,28,6,? 0.00,1,0,0,"? 1,76,713.00",0,21-04-2017
15765297,2,1,41,3,? 0.00,2,0,1,"? 34,283.00",0,30-11-2019
15636684,1,1,34,7,? 0.00,2,1,1,"? 1,98,637.00",0,11-06-2016
15592979,3,2,34,4,"? 37,267.00",2,0,0,"? 1,56,917.00",0,07-08-2019
15750803,1,2,30,5,"? 1,27,992.00",1,1,1,"? 50,457.00",0,27-07-2018
15607178,3,1,38,6,"? 54,901.00",1,1,1,"? 1,40,076.00",0,20-04-2017
15713853,3,1,42,5,"? 1,08,748.00",2,1,1,"? 65,323.00",0,03-02-2018
15673481,2,2,48,3,"? 99,906.00",1,1,0,"? 64,323.00",0,21-10-2019
15686776,1,2,32,7,"? 1,84,686.00",2,1,0,"? 14,956.00",0,15-05-2016
15673693,1,2,26,4,"? 1,10,654.00",1,0,1,"? 1,11,879.00",0,10-12-2018
15700696,2,1,31,4,"? 79,020.00",1,1,1,"? 18,606.00",0,14-12-2018
15813163,2,2,36,6,"? 99,241.00",1,1,0,"? 1,23,137.00",0,02-11-2016
15653857,1,1,34,4,? 0.00,2,1,1,"? 1,48,528.00",0,22-09-2019
15777076,1,1,36,5,? 0.00,2,1,0,"? 13,898.00",0,28-09-2017
15717398,2,2,39,6,? 0.00,1,0,0,"? 81,259.00",1,04-06-2017
15799217,3,2,35,6,"? 52,436.00",1,1,0,"? 1,61,052.00",0,21-12-2016
15787071,2,1,41,4,? 0.00,2,0,1,"? 1,91,600.00",0,05-11-2018
15619955,3,1,34,3,"? 1,00,338.00",3,1,0,"? 48,559.00",1,12-12-2019
15796505,3,2,34,5,"? 1,49,297.00",2,1,1,"? 1,86,340.00",0,15-08-2018
15725166,1,1,30,5,? 0.00,2,1,0,"? 33,159.00",0,05-11-2017
15800116,3,1,28,4,"? 1,45,605.00",1,0,1,"? 93,884.00",0,14-05-2019
15758685,2,2,37,6,? 0.00,2,1,1,"? 1,10,899.00",0,03-10-2016
15694456,1,1,62,6,? 0.00,1,1,1,"? 11,199.00",1,20-10-2016
15767339,1,2,53,6,? 0.00,2,1,0,"? 1,89,993.00",0,03-05-2017
15683562,1,1,35,5,"? 84,027.00",1,0,1,"? 1,64,256.00",0,24-09-2017
15782210,1,1,46,5,? 0.00,1,1,0,"? 1,52,168.00",1,29-07-2018
15668893,1,1,39,7,? 0.00,2,1,1,"? 33,950.00",0,05-08-2016
15669169,2,1,29,5,? 0.00,2,1,1,"? 68,144.00",0,13-03-2018
15643024,3,1,35,5,"? 1,38,719.00",1,1,1,"? 47,252.00",1,20-05-2018
15699389,1,1,42,5,"? 1,18,275.00",1,1,1,"? 25,886.00",0,08-09-2018
15708608,1,2,22,3,"? 1,74,186.00",2,0,1,"? 1,92,634.00",0,05-11-2019
15626144,1,1,40,6,"? 1,13,209.00",2,1,0,"? 34,577.00",0,08-01-2017
15573112,2,1,29,5,"? 1,03,907.00",1,1,0,"? 1,61,230.00",0,16-03-2018
15790678,1,2,32,5,"? 1,19,023.00",1,1,0,"? 1,00,816.00",0,14-02-2018
15727556,2,2,26,6,"? 1,66,298.00",1,1,1,"? 1,81,694.00",0,23-09-2016
15697307,2,1,34,5,? 0.00,2,1,0,"? 79,079.00",0,04-06-2018
15652266,3,1,42,6,"? 63,227.00",1,0,1,"? 1,37,316.00",0,16-07-2017
15607098,2,2,41,4,"? 94,521.00",2,1,0,"? 1,94,927.00",0,14-06-2019
15655774,1,1,27,5,? 0.00,2,1,0,"? 51,285.00",0,11-11-2017
15590241,2,2,34,3,"? 1,12,822.00",1,0,0,"? 1,50,402.00",1,12-12-2019
15785819,1,1,38,5,? 0.00,2,1,1,"? 1,12,492.00",0,18-09-2018
15723654,1,1,25,5,"? 1,35,903.00",1,1,0,"? 73,656.00",0,15-06-2018
15774510,1,2,31,4,"? 1,25,169.00",1,1,1,"? 1,06,637.00",0,20-03-2019
15684173,2,2,44,7,? 0.00,3,1,0,"? 1,55,854.00",1,18-01-2016
15650068,1,1,58,7,"? 1,49,117.00",1,1,1,"? 1,62,600.00",0,12-09-2016
15811490,1,1,33,5,? 0.00,2,1,1,"? 1,03,738.00",0,10-12-2017
15803976,1,2,31,6,? 0.00,2,1,0,"? 1,60,990.00",0,27-12-2016
15682541,2,2,36,5,"? 1,32,312.00",1,0,0,"? 15,463.00",0,28-04-2018
15695699,1,1,35,5,? 0.00,2,1,0,"? 10,334.00",0,24-11-2017
